name,id
Aksdal,103
Alta,200
Andebu,425
Andenes,316
Arendal,201
Asker,202
Askim,203
Askvoll,414
Askøy,148
Aurland,482
Austevoll,410
Bagn,427
Bardufoss,278
Beitostølen,396
"Bergen, Arna",165
"Bergen, Bergen Storsenter",121
"Bergen, Fyllingsdalen",149
"Bergen, Lagunen",331
"Bergen, Laksevåg",373
"Bergen, Nesttun",163
"Bergen, Sletten",130
"Bergen, Valkendorfsgt.",150
"Bergen, Vestkanten",170
"Bergen, Åsane",197
"Bergen, Åsane Horisont",434
Bjugn,428
Bjørkelangen,301
"Bodø, City Nord",339
"Bodø, Hunstad",469
"Bodø, Sentrum",204
Brattvåg,379
Brekstad,206
Brokelandsheia,409
Bruhagen,420
Brumunddal,394
Bryne,326
Brønnøysund,208
Buvika,479
Båtsfjord,318
"Bærum, Bekkestua",190
"Bærum, Bærums Verk",453
"Bærum, Fornebu",442
"Bærum, Kolsås",124
"Bærum, Sandvika",194
"Bærum, Østerås",198
Bø i Telemark,166
Bø i Vesterålen,445
Bømlo,309
Digerneset,109
Dokka,123
Dombås,303
"Drammen, Bragernes",205
"Drammen, CC",468
"Drammen, Strømsø",207
Drangedal,365
Drøbak,210
Egersund,209
Eggedal,119
Eidsvoll,213
Eikelandsosen,448
Elnesvågen,333
Elverum,215
Etne,429
Evenskjer,413
Evje,172
Fagernes,217
Farsund,307
Fauske,212
Fetsund,441
Finnsnes,216
Fitjar,129
Fjerdingby,477
Flekkefjord,167
Flisa,302
Florø,164
Flå,452
Fosnavåg,347
"Fredrikstad, Værstetorvet",219
"Fredrikstad, Østsiden",222
Froland,437
Frosta,465
Frøya,358
Førde,251
Gausdal,395
Geilo,304
Gjerdrum,426
Gjøvik,223
Gol,225
Gran,226
Grimstad,211
Grong,315
Halden,229
Hamar,230
Hammerfest,220
Harstad,224
Haugesund,218
Hemsedal,419
Herøy,443
Hitra,314
Hokksund,375
Holmen Senter,135
Holmestrand,233
Honningsvåg,239
Horten,237
Hov,438
Hovden,107
Husnes,179
Hvaler,321
Hønefoss,242
Høyanger,356
Inderøy,446
Jessheim,246
Jevnaker,377
Jørpeland,308
"Karmøy, Kopervik",168
"Karmøy, Oasen",449
Kautokeino,319
Kirkenes,228
Kjøllefjord,447
Klepp,385
Kløfta,455
Knarvik,156
Kolbotn,234
Kolvereid,243
Kongsberg,247
Kongsvinger,250
Koppang,411
Korgen,424
Kragerø,257
"Kristiansand, Lillemarkens",254
"Kristiansand, Sørlandssenteret",253
"Kristiansand, Vågsbygd",386
"Kristiansund, Futura",137
"Kristiansund, Sentrum",232
Krokstadelva,126
Kvinesdal,430
Kyrksæterøra,313
Lakselv,133
Langevåg,432
Larvik,258
Leknes,214
Lena,332
Levanger,236
Liertoppen,362
Lillehammer,263
Lillesand,306
Lillestrøm,265
Lom,364
Lonevåg,421
Luster,366
Lyngdal,345
Lyngen,444
Lødingen,369
"Lørenskog, Metro",473
"Lørenskog, Triaden",287
Løten,363
Malvik,383
Mandal,266
Melhus,342
Mo i Nord-Odal,101
Mo i Rana,240
Moelv,439
Molde,244
Mosjøen,248
Moss,270
Myre,359
Mysen,343
Måløy,151
Namsos,252
Nannestad,392
Narvik,256
Nesbyen,387
Nesna,108
Nesodden,134
Nittedal,105
Nordfjordeid,255
Noresund,131
Norheimsund,177
Notodden,273
Nærbø,431
Nøtterøy,142
Odda,235
Oppdal,260
Orkanger,262
Os,275
"Oslo, Aker Brygge",114
"Oslo, Alna",117
"Oslo, Bjørvika",474
"Oslo, Briskeby",104
"Oslo, Bryn",475
"Oslo, Bøler",440
"Oslo, CC Vest",127
"Oslo, Carl Berner",459
"Oslo, Colosseum",136
"Oslo, Frogner",111
"Oslo, Grorud",389
"Oslo, Grønland Basar",361
"Oslo, Grünerløkka",115
"Oslo, Hasle Torg",182
"Oslo, Holmlia",122
"Oslo, Kiellandsplass",178
"Oslo, Lambertseter",374
"Oslo, Linderud",132
"Oslo, Manglerud",138
"Oslo, Mortensrud",403
"Oslo, Nydalen",417
"Oslo, Oslo City",143
"Oslo, Oslo S",118
"Oslo, Paleet",141
"Oslo, Røa",335
"Oslo, Sandaker",152
"Oslo, Skøyen",393
"Oslo, Steen & Strøm",286
"Oslo, Storo",161
"Oslo, Stovner",162
"Oslo, Tveita",145
"Oslo, Ullevaal Stadion",334
"Oslo, Valkyrien",471
"Oslo, Vinderen",454
Otta,274
Overhalla,139
"Porsgrunn, Down Town",113
"Porsgrunn, Jernbanegata",277
Radøy,433
Rakkestad,300
Randaberg,399
Raufoss,352
Re,381
Rena,330
Ringebu,380
Rissa,340
Risør,169
Rjukan,281
Rognan,328
Rosendal,102
Rudshøgda,267
Rygge,350
Råholt,470
Rødberg,412
Røros,264
Rørvik,382
Samnanger,153
Sandane,346
Sande,407
Sandefjord,283
"Sandnes, Kvadrat",116
"Sandnes, Sandnes Sentrum",241
Sandnessjøen,268
"Sarpsborg, Borg",461
"Sarpsborg, Storbyen",285
Sauda,147
Selbu,423
Seljord,320
Setermoen,360
Sjøvegan,368
Skarnes,388
Skedsmokorset,472
Ski,289
"Skien, Gråtenmoen",181
"Skien, Lietorvet",290
Skjervøy,327
Slemmestad,173
Smøla,457
Sogndal,261
"Sola, Solakrossen",355
"Sola, Tananger",480
Son,462
Sortland,272
Sotra,325
Stange,324
Stathelle,128
"Stavanger, Herbarium",227
"Stavanger, Hillevåg",221
"Stavanger, Hinna",436
"Stavanger, Madla",416
"Stavanger, Tasta",450
"Stavanger, Verksgata",231
Stavern,404
Steigen,456
Steinkjer,276
Stjørdal,280
Stokke,398
Stokmarknes,341
Stord,297
Storslett,269
Storsteinnes,317
Stranda,329
Stryn,310
Strømmen,291
Støren,189
Suldal,106
Sund,466
Sunndalsøra,259
Surnadal,312
Sveio,476
Svelvik,422
Svolvær,284
Sykkylven,348
Sætre,112
Søgne,354
Sørumsand,378
Tjøme,376
Tofte,397
"Tromsø, Langnes",282
"Tromsø, Sentrum",292
"Tromsø, Tromsdalen",288
"Trondheim, Byhaven",140
"Trondheim, Byåsen",401
"Trondheim, City Syd",120
"Trondheim, Heimdal",460
"Trondheim, Lade",336
"Trondheim, Nedre Elvehavn",322
"Trondheim, Sirkus Shopping",146
"Trondheim, Trondheim Torg",160
"Trondheim, Valentinlyst",180
Trysil,294
Tvedestrand,323
Tynset,293
Tysnes,458
Tønsberg,295
Ulefoss,353
Ulsteinvik,183
Vadsø,296
Vanylven,367
Vardø,370
Vennesla,344
Verdal,337
Vestby,351
Vestnes,384
Vik i Hole,467
Vik i Sogn,464
Vikersund,171
Vinje,305
Vinstra,125
Vinterbro,338
Volda,357
Voss,298
Vågå,349
Ytre Enebakk,415
Åfjord,402
Ål,406
"Ålesund, Moa",174
"Ålesund, Sentrum",245
Ålgård,405
Åndalsnes,175
Årdal,311
Årnes,176
Ås,418
Åsgårdstrand,463
Ølen,400
Ørnes,185
Ørsta,299
